질문,라벨링
반려동물을 데리고 와도 되나요?,반려동물
애완동물을 동반할 수 있나요?,반려동물
반려동물과 함께 숙박 가능한가요?,반려동물
애완동물 입장이 허용되나요?,반려동물
반려동물 출입이 가능한지요?,반려동물
강아지를 데려가도 되나요?,반려동물
애완동물을 허용하나요?,반려동물
반려동물과 함께 이용 가능한가요?,반려동물
숙소에 반려동물과 동행할 수 있나요?,반려동물
애완동물과 함께 묵을 수 있나요?,반려동물
반려동물과 함께 머물 수 있나요?,반려동물
반려동물을 데리고 숙박할 수 있나요?,반려동물
반려동물과 동반 가능 여부를 알고 싶어요.,반려동물
애완동물과 함께 이용할 수 있나요?,반려동물
반려동물을 허용하는지 궁금합니다.,반려동물
펫 동반이 허용되나요?,반려동물
강아지와 함께 숙박 가능한가요?,반려동물
고양이를 데리고 갈 수 있나요?,반려동물
애완동물과 동행해도 괜찮나요?,반려동물
반려동물과 함께 지내도 되나요?,반려동물
반려동물을 데리고 가도 괜찮은지요?,반려동물
반려동물 입장이 가능한지 알려주세요.,반려동물
반려동물과 함께 체크인할 수 있나요?,반려동물
반려동물을 허용하는 숙소인가요?,반려동물
동물 동반이 허용되나요?,반려동물
애완동물을 데리고 들어가도 되나요?,반려동물
강아지나 고양이 동반이 가능한가요?,반려동물
펫 동반 여부를 확인하고 싶어요.,반려동물
반려동물과 머무를 수 있는지 알고 싶습니다.,반려동물
애완동물 허용 정책이 있나요?,반려동물
반려동물을 데리고 체크인할 수 있나요?,반려동물
반려동물 입장이 가능한 숙소인가요?,반려동물
강아지를 숙소에 데려갈 수 있나요?,반려동물
반려동물과 함께 묵을 수 있나요?,반려동물
고양이를 데려와도 괜찮나요?,반려동물
반려동물과 동반할 수 있는지 확인 부탁드려요.,반려동물
펫과 함께 지낼 수 있나요?,반려동물
반려동물 허용 여부를 알고 싶습니다.,반려동물
강아지나 고양이 입장이 가능한가요?,반려동물
숙소에 반려동물을 데려갈 수 있는지요?,반려동물
반려동물과 함께 묵을 수 있나요?,반려동물
반려동물과의 동반이 가능한가요?,반려동물
숙소에 반려동물을 데려갈 수 있나요?,반려동물
애완동물과 숙박 가능한지요?,반려동물
반려동물과 함께 체크인 가능한가요?,반려동물
강아지를 데려갈 수 있는지요?,반려동물
애완동물 입장이 허용되나요?,반려동물
고양이와 함께 머물 수 있나요?,반려동물
반려동물을 허용하는 숙소인가요?,반려동물
반려동물 동반 숙박이 가능한지 궁금합니다.,반려동물
세탁기 건조기 있나요?,세탁시설
세탁기와 건조기를 사용할 수 있나요?,세탁시설
세탁과 건조를 할 수 있는 장비가 있나요?,세탁시설
세탁기와 건조기가 비치되어 있나요?,세탁시설
숙소에 세탁기와 건조기가 있나요?,세탁시설
세탁 시설이 구비되어 있나요?,세탁시설
세탁기나 건조기를 사용할 수 있나요?,세탁시설
세탁 시설을 이용할 수 있나요?,세탁시설
세탁기/건조기가 마련되어 있나요?,세탁시설
